bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,created_by,updated_by,status,comments
beheshti2016information,Information literacy: Bridging the gap between theory and practice,"Beheshti, Jamshid and Bartlett, Joan C and Bilal, Dania and Gwizdka, Jacek and Mackey, Thomas P and Jacobson, Trudi and Limberg, Louise and Ishimura, Yusuke",,2016,Google Scholar,19,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
casebeer2009learning,Learning to navigate the noise of change: lessons from complex health system contexts,"Casebeer, Ann",Managing Change in the Public Services,2009,Google Scholar,193,,,article,,,,,,John Wiley \& Sons,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
gadiraju2018analyzing,Analyzing knowledge gain of users in informational search sessions on the web,"Gadiraju, Ujwal and Yu, Ran and Dietze, Stefan and Holtz, Peter",,2018,Google Scholar,2--11,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
doyle2016your,This Is Your Brain on Editing: How Digital Tools Affect the Cognitive Processes Behind Copyediting,"Doyle, Megan",,2016,Google Scholar,,,,article,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
ma2018improving,Improving Session Search Performance with a Multi-MDP Model,"Ma, Shaoping",,2018,Google Scholar,45,11292,,inproceedings,,,,,,,,,,,"43732,1","43732,2",marcelo.machado,,Duplicated,
chen2018improving,Improving Session Search Performance with a Multi-MDP Model,"Chen, Jia and Liu, Yiqun and Luo, Cheng and Mao, Jiaxin and Zhang, Min and Ma, Shaoping",,2018,Google Scholar,45--59,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
karanam2016performance,Performance of computational cognitive models of web-navigation on real websites,"Karanam, Saraschandra and Van Oostendorp, Herre and Tat Fu, Wai",Journal of Information Science,2016,Google Scholar,94--113,42,,article,,,,,,"SAGE Publications Sage UK: London, England",,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
han2019examining,Examining the classification and evolution of novice users’ mental models of an academic database in the search task completion process,"Han, Zhengbiao and Hansen, Preben and Xu, Haiyun and Luo, Rui",Journal of Information Science,2019,Google Scholar,165551519828621,,,article,,,,,,"SAGE Publications Sage UK: London, England",,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
o2017learning,"Learning From the News: The Role of Topic, Multimedia and Interest in Knowledge Retention","O'Brien, Heather and McKay, Jocelyn and Vangeest, Jacob",,2017,Google Scholar,185--193,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
moraes2019impact,On the impact of group size on collaborative search effectiveness,"Moraes, Felipe and Grashoff, Kilian and Hauff, Claudia",Information Retrieval Journal,2019,Google Scholar,1--23,,,article,,,,,,Springer,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
toutounji2016autonomous,Autonomous learning needs a second environmental feedback loop,"Toutounji, Hazem and Pasemann, Frank",,2016,Google Scholar,455--472,,,incollection,,,,,,Springer,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
zhang2018user,User perceived learning from interactive searching on big medical literature data,"Zhang, Xiangmin",Big Data \& Information Analytics,2018,Google Scholar,3,,,article,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
maxwell2019impact,The impact of result diversification on search behaviour and performance,"Maxwell, David and Azzopardi, Leif and Moshfeghi, Yashar",Information Retrieval Journal,2019,Google Scholar,1--25,,,article,,,,,,Springer,,,,,"43732,1","43732,2",marcelo.machado,,Duplicated,
朱保華2019博物館數位典藏系統使用行為研究,博物館數位典藏系統使用行為研究,朱保華,臺灣師範大學圖書資訊學研究所學位論文,2019,Google Scholar,1--140,,,article,,,,,,臺灣師範大學,,,,,"43732,1","43732,2",marcelo.machado,,Rejected,
roux2016using,Using Spatialisation to Support Exploratory Search Behaviour,"Roux, Clement",,2016,Google Scholar,,,,article,,,,,,Dublin Institute of Technology,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
denton2014automotive,Automotive Technician Training: Theory,"Denton, Tom",,2014,Google Scholar,,,,book,,,,,,Routledge,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
koutamanis1999designing,Designing with the computer: the influence of design practice and research,"Koutamanis, Alexander","Computers in design studio teaching.(KU Leuven, Leuven, 1999)",1999,Google Scholar,,,,article,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
bhattacharya2019measuring,"Measuring Learning During Search: Differences in Interactions, Eye-Gaze, and Semantic Similarity to Expert Knowledge","Bhattacharya, Nilavra and Gwizdka, Jacek",,2019,Google Scholar,63--71,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
karppi2010methodological,Methodological observations from behind the decks,"Karppi, Tero and Sotamaa, Olli",Games as Services,2010,Google Scholar,56,,,article,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
procaci2019outstanding,How Do Outstanding Users Differ From Other Users in Q\&A Communities?,"Procaci, Thiago Baesso and Siqueira, Sean and Pereira Nunes, Bernardo and Gadiraju, Ujwal",,2019,Google Scholar,281--282,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
melissa2018influence,The influence of self-regulation processes on metacognition in a virtual learning environment,"Melissa Ng Lee Yen, Abdullah",Educational Studies,2018,Google Scholar,1--17,,,article,,,,,,Taylor \& Francis,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
kaushik2019dialogue,Dialogue-Based Information Retrieval,"Kaushik, Abhishek",,2019,Google Scholar,364--368,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
wunsch2004evolutionary,"Evolutionary algorithms, Markov decision processes, adaptive critic designs, and clustering: commonalities, hybridization and performance","Wunsch, Donald C and Mulder, Samuel",,2004,Google Scholar,477--482,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
murray2012modelling,Modelling and Control,"Murray-Smith, Roderick and Hunt, Kenneth",Neural Network Engineering in Dynamic Control Systems,2012,Google Scholar,61,,,article,,,,,,Springer Science \& Business Media,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
pereira2019complex,How Complex is the Complexity of a Concept in Exploratory Search,"Pereira, Crystiam Kelle and Medeiros, Jerry Fernandes and Siqueira, Sean WM and Nunes, Bernardo Pereira",,2019,Google Scholar,17--21,2161,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
hertzum2019professionals,How is professionals’ information seeking shaped by workplace procedures? A study of healthcare clinicians,"Hertzum, Morten and Simonsen, Jesper",Information Processing \& Management,2019,Google Scholar,624--636,56,,article,,,,,,Elsevier,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
tempelaarorchestration,The Orchestration of a Collaborative Information Seeking Learning Task,"Tempelaar, Dirk and Mitsui, Matthew and Shah, Chirag",,,Google Scholar,,,,article,,,,,,,,,,,"43732,1","43732,2",marcelo.machado,,Duplicated,
sze2017evidence,Evidence In Support of Keeping an On-site Library Collection at the iSchool Inforum,"Sze, Elisa",,2017,Google Scholar,,,,article,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
tibau2018exploratory,Exploratory Search as a Knowledge-intensive Process,"Tibau, Marcelo and Siqueira, Sean WM and Baião, Fernanda and Nunes, Bernardo Pereira",,2018,Google Scholar,26,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
bailey2017retrieval,Retrieval consistency in the presence of query variations,"Bailey, Peter and Moffat, Alistair and Scholer, Falk and Thomas, Paul",,2017,Google Scholar,395--404,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
dolnivcar2017comparative,A comparative study of three teaching methods on student information literacy in stand-alone credit-bearing university courses,"Dolni{č}ar, Danica and Podgornik, Bojana Boh and Bartol, Toma{ž}",Journal of Information Science,2017,Google Scholar,601--614,43,,article,,,,,,"SAGE Publications Sage UK: London, England",,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
amann2013volatile,Volatile biomarkers: non-invasive diagnosis in physiology and medicine,"Amann, Anton and Smith, David",,2013,Google Scholar,,,,book,,,,,,Newnes,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
tsai2016similarity,A Similarity-based Self-evolutionary Model for Railway Passenger Arrival Forecasting,"TSAI, Tsung-Hsien",Asian Transport Studies,2016,Google Scholar,140--158,4,,article,,,,,,Eastern Asia Society for Transportation Studies,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
yu2018predicting,Predicting user knowledge gain in informational search sessions,"Yu, Ran and Gadiraju, Ujwal and Holtz, Peter and Rokicki, Markus and Kemkes, Philipp and Dietze, Stefan",,2018,Google Scholar,75--84,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
zhuang2017modelling,Modelling User Behaviour based on Process,"Zhuang, Mengdie",,2017,Google Scholar,343--346,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
shapira2012inside,Inside out: A neuro-behavioral signature of free recall dynamics,"Shapira-Lichter, Irit and Vakil, Eli and Glikmann-Johnston, Yifat and Siman-Tov, Tali and Caspi, Dan and Paran, Daphna and Hendler, Talma",Neuropsychologia,2012,Google Scholar,2245--2256,50,,article,,,,,,Elsevier,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
haythornthwaite2019learning,"Learning, connectivity and networks","Haythornthwaite, Caroline",Information and Learning Sciences,2019,Google Scholar,19--38,120,,article,,,,,,Emerald Publishing Limited,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
meyers2019learning,"Learning to code, coding to learn: youth and computational thinking","Meyers, Eric and Huang, Hong","Call for papers, Information and Learning Science, available at: www. emeraldgrouppublishing. com/products/journals/call_for_papers. htm",2019,Google Scholar,,,,article,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
pera2019sonny,"Sonny, Cerca! Evaluating the Impact of Using a Vocal Assistant to Search at School","Pera, Maria Soledad",,,Google Scholar,101,,,inproceedings,,,,,,,,,,,"43732,1","43732,2",marcelo.machado,,Duplicated,
turban2009effects,EFFECTS OF CONSCIENTIOUSNESS AND EXTRAVERSION ON NEW LABOR MARKET ENTRANTS'JOB SEARCH: THE MEDIATING ROLE OF METACOGNITIVE ACTIVITIES AND POSITIVE EMOTIONS,"Turban, Daniel B and Stevens, Cynthia K and Lee, Felissa K",Personnel Psychology,2009,Google Scholar,553--573,62,,article,,,,,,Wiley Online Library,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
weisbord1996future,Future search: Finding common ground in organizations and communities,"Weisbord, Marvin R and Janoff, Sandra",Systems Practice,1996,Google Scholar,71--84,9,,article,,,,,,Springer,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
gonzalez2017neurone,NEURONE: oNlinE inqUiRy experimentatiON systEm,"González-Ibáñez, Roberto and Gacitúa, Daniel and Sormunen, Eero and Kiili, Carita",Proceedings of the Association for Information Science and Technology,2017,Google Scholar,687--689,54,,article,,,,,,Wiley Online Library,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
liu2018user,User Interactions with Search Systems,"Liu, Ying-Hsang and Liu, Chang and Bierig, Ralf",,2018,Google Scholar,3--4,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
yusuf2019comparative,A Comparative Analysis of Web Search Query: Informational Vs. Navigational Queries,"Yusuf, Nuhu and Yunus, Mohd Amin Mohd and Wahid, Norfaradilla","International Journal on Advanced Science, Engineering and Information Technology",2019,Google Scholar,136--141,9,,article,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
yilmaz2019improving,Improving educational web search for question-like queries through subject classification,"Yilmaz, Tolga and Ozcan, Rifat and Altingovde, Ismail Sengor and Ulusoy, Özgür",Information Processing \& Management,2019,Google Scholar,228--246,56,,article,,,,,,Elsevier,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
wildemuth2004effects,The effects of domain knowledge on search tactic formulation,"Wildemuth, Barbara M",Journal of the american society for information science and technology,2004,Google Scholar,246--258,55,,article,,,,,,Wiley Online Library,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
madsen2014strategic,Strategic reframing as' feedforward'to experimentation and exploration-A longitudinal dissection of strategic reframing and innovation activities in a mature organization,"Madsen, Arne Stjernholm",,2014,Google Scholar,1,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
dodson2019autumn,Autumn School for Information Retrieval and Information Foraging (ASIRF 2017),"Dodson, Samuel and Zimmerman, Steven",,2019,Google Scholar,83--86,52,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
dobozyicalt,ICALT 2017,"Dobozy, Eva",,,Google Scholar,,,,article,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
landoni2019sonny,"Sonny, Cerca! evaluating the impact of using a vocal assistant to search at school","Landoni, Monica and Matteri, Davide and Murgia, Emiliana and Huibers, Theo and Pera, Maria Soledad",,2019,Google Scholar,101--113,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
henning2018estimating,Estimating the information gap between textual and visual representations,"Henning, Christian and Ewerth, Ralph",International journal of multimedia information retrieval,2018,Google Scholar,43--56,7,,article,,,,,,Springer,,,,,"43732,1","43732,2",marcelo.machado,,Duplicated,
culpepper2018research,Research frontiers in information retrieval: Report from the third strategic workshop on information retrieval in lorne (swirl 2018),"Culpepper, J Shane and Diaz, Fernando and Smucker, Mark D",,2018,Google Scholar,34--90,52,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
murray1995local,Local model architectures for nonlinear modelling and control,"Murray-Smith, Roderick and Hunt, Kenneth",,1995,Google Scholar,61--82,,,incollection,,,,,,Springer,,,,,"43732,1","43732,2",marcelo.machado,,Duplicated,
ortiz2019dynamic,Dynamic Cluster-based Retrieval and Discovery for Biomedical Literature,"Ortiz, Michael Segundo and Kim, Heejun and Wang, Mengqian and Seki, Kazuhiro and Mostafa, Javed",,2019,Google Scholar,390--396,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
wu2018aslib,Aslib Journal of Information Management,"Wu, Dan and Liang, Shaobo and Yu, Wenting and others",Management,2018,Google Scholar,2--27,70,,article,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
knight2017orchestration,The orchestration of a collaborative information seeking learning task,"Knight, Simon and Rienties, Bart and Littleton, Karen and Tempelaar, Dirk and Mitsui, Matthew and Shah, Chirag",Information Retrieval Journal,2017,Google Scholar,480--505,20,,article,,,,,,Springer,,,,,"43732,1","43732,2",marcelo.machado,,Duplicated,
chen2009information,Information access across languages on the Web: from search engines to digital libraries,"Chen, Jiangping and Bao, Yu",Proceedings of the American Society for Information Science and Technology,2009,Google Scholar,1--14,46,,article,,,,,,Wiley Online Library,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
gadiraju2018new,A new age of search systems by Ujwal Gadiraju with Martin Vesely as coordinator: understanding knowledge gained by users through search,"Gadiraju, Ujwal",ACM SIGWEB Newsletter,2018,Google Scholar,4,,,article,,,,,,ACM,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
vakkari2018information,Information Search Processes in Complex Tasks,"Vakkari, Pertti",,2018,Google Scholar,1--1,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
brandsen2018proceedings,Proceedings of the 17th Dutch-Belgian Information Retrieval Workshop,"Brandsen, Alex and Dirkson, Anne and Kraaij, Wessel and Lamers, Wout and Verberne, Suzan and De Vos, Hugo and Wiggers, Gineke",arXiv preprint arXiv:1812.04265,2018,Google Scholar,,,,article,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
jansen2008viewing,Viewing Searching Systems as Learning Systems,"Jansen, Bernard J",HCIR 2008,2008,Google Scholar,42,,,article,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
urgo2019anderson,Anderson and Krathwohl’s Two-Dimensional Taxonomy Applied to Task Creation and Learning Assessment,"Urgo, Kelsey and Arguello, Jaime and Capra, Rob",,2019,Google Scholar,,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
rieh2016towards,Towards searching as a learning process: A review of current perspectives and future directions,"Rieh, Soo Young and Collins-Thompson, Kevyn and Hansen, Preben and Lee, Hye-Jung",Journal of Information Science,2016,Google Scholar,19--34,42,,article,,,,,,"SAGE Publications Sage UK: London, England",,,,,"43732,1","43732,2",marcelo.machado,,Duplicated,
henry2011malcolm,Malcolm Shepherd Knowles: A history of his thought,"Henry, George W",,2011,Google Scholar,,,,book,,,,,,Nova Science Publishers,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
syed2018exploring,Exploring Document Retrieval Features Associated with Improved Short-and Long-term Vocabulary Learning Outcomes,"Syed, Rohail and Collins-Thompson, Kevyn",,2018,Google Scholar,191--200,,,inproceedings,,,,,,,,,,,"43732,1","43732,2",marcelo.machado,,Duplicated,
daee2016interactive,Interactive intent modeling from multiple feedback domains,"Daee, Pedram and Pyykkö, Joel and Glowacka, Dorota and Kaski, Samuel",,2016,Google Scholar,71--75,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
le2017search,Search engine literacy,"Le Deuff, Olivier",,2017,Google Scholar,359--365,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
tang2002integrated,"In an integrated framework for web searching research: Learning, problem solving, and search tasks","Tang, RONG",,2002,Google Scholar,49--67,,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
vakkari2019modeling,Modeling the usefulness of search results as measured by information use,"Vakkari, Pertti and Völske, Michael and Potthast, Martin and Hagen, Matthias and Stein, Benno",Information Processing \& Management,2019,Google Scholar,879--894,56,,article,,,,,,Elsevier,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
bystrom2014searching,Searching as a learning activity in real life workplaces,"Byström, Katriina",,2014,Google Scholar,,2014,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
kashyap2017source,Source forager: a search engine for similar source code,"Kashyap, Vineeth and Brown, David Bingham and Liblit, Ben and Melski, David and Reps, Thomas",arXiv preprint arXiv:1706.02769,2017,Google Scholar,,,,article,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
fields2015digital,"Digital Primary Sources-Why You Should Use Them, Where You Can Find Them, What to Do with Them","Fields, Erin and Lunn, Peggy",,2015,Google Scholar,,,,article,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
coenen1987handelingsonderzoek,Handelingsonderzoek als exemplarisch leren..,"Coenen, Hendrick Maria",,1987,Google Scholar,,,,book,,,,,,Konstapel Groningen,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
reynolds2019inaugural,Inaugural issue perspectives on Information and Learning Sciences as an integral scholarly Nexus,"Reynolds, Rebecca and Chu, Sam and Ahn, June and Buckingham Shum, Simon and Hansen, Preben and Haythornthwaite, Caroline and Huang, Hong and Meyers, Eric M and Rieh, Soo Young",Information and Learning Sciences,2019,Google Scholar,2--18,120,,article,,,,,,Emerald Publishing Limited,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
meyer2018assessing,Assessing the potential of third space to design a creative virtual academic space based on findings from information behaviour,"Meyer, Anika and Hansen, Preben and Fourie, Ina",INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,2018,Google Scholar,,23,,article,,,,,,"UNIV SHEFFIELD DEPT INFORMATION STUDIES UNIV SHEFFIELD, WESTERN BANK~…",,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
syed2017optimizing,Optimizing search results for human learning goals,"Syed, Rohail and Collins-Thompson, Kevyn",Information Retrieval Journal,2017,Google Scholar,506--523,20,,article,,,,,,Springer,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
markov2019should,What Should We Teach in Information Retrieval?,"Markov, Ilya and de Rijke, Maarten",,2019,Google Scholar,19--39,52,,inproceedings,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
levner2002analyzing,Analyzing abstraction and approximation within MDP/POMDP environment,"LEVNER, ILYA and JANKOWSKA, MAGDALENA","Course project report, Department of Computing Science, University of Alberta, Edmonton, Alberta, Canada",2002,Google Scholar,,,,article,,,,,,,,,,,"43732,1","43732,1",marcelo.machado,,Unclassified,
